id,source,page,category,visibleName,width,height,quality,use,rightsStatus,permissionRequired,origin,location,date
profile-1-p01-01,SignAds Profile.. (1).pdf,1,Profile background,SignAds,1536,864,large-card,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
profile-1-p01-02,SignAds Profile.. (1).pdf,1,Brand identity,SignAds,1846,345,large-card,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
profile-1-p03-02,SignAds Profile.. (1).pdf,3,LED Sign board  / Shop boards,Shubham Caterers,643,858,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p03-03,SignAds Profile.. (1).pdf,3,LED Sign board  / Shop boards,Shubham Caterers,445,593,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p03-04,SignAds Profile.. (1).pdf,3,LED Sign board  / Shop boards,Patharecha Mahaganpati (visible Marathi text),1144,409,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p03-05,SignAds Profile.. (1).pdf,3,LED Sign board  / Shop boards,Patharecha Mahaganpati (visible Marathi text),832,624,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p03-06,SignAds Profile.. (1).pdf,3,LED Sign board  / Shop boards,Turde Wine Centre,898,377,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p04-02,SignAds Profile.. (1).pdf,4,ACP cladding Work ( Aluminum composite panel ),vivo (visible brand),562,749,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p04-03,SignAds Profile.. (1).pdf,4,ACP cladding Work ( Aluminum composite panel ),Multiple names; not reliably legible,828,828,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p04-04,SignAds Profile.. (1).pdf,4,ACP cladding Work ( Aluminum composite panel ),Not legible,528,780,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p04-05,SignAds Profile.. (1).pdf,4,ACP cladding Work ( Aluminum composite panel ),Anmol Electronics,432,576,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p05-02,SignAds Profile.. (1).pdf,5,PU Color letters,Neelkanth Luxuria,1040,780,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p05-03,SignAds Profile.. (1).pdf,5,PU Color letters,Sukhad Home,1040,479,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
